make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,price_usd,brand,transmission,color,service_history,accidents_reported,insurance_valid
2001,16.86,2500,Diesel,5,4617.92,Tesla,Automatic,Gray,Partial,0,Yes
2014,20.26,1800,Diesel,1,6607.44,Hyundai,Manual,Gray,Partial,0,No
1998,22.94,1200,Diesel,3,5262.91,Nissan,Automatic,Red,Full,0,Yes
2021,14.23,5000,Petrol,5,8334.71,Hyundai,Manual,Black,Full,0,Yes
2002,13.47,3000,Petrol,3,5894.73,Honda,Manual,White,Full,1,Yes
2014,14.39,1000,Diesel,3,3345.71,Ford,Automatic,Silver,None,0,Yes
2023,16.25,800,Petrol,5,5012.83,Tesla,Manual,Blue,Partial,1,Yes
2016,13.65,1800,Petrol,3,6137.36,Toyota,Manual,White,Full,2,Yes
2015,14.6,1500,Petrol,2,6800.66,BMW,Automatic,Black,None,2,Yes
2013,22.4,5000,Diesel,1,12831.1,Kia,Automatic,Silver,None,1,Yes
2007,17.52,2500,Diesel,2,8249.08,Volkswagen,Automatic,Black,Partial,0,Yes
2008,19.53,4000,Electric,2,13584.33,Tesla,Manual,Black,Partial,1,Yes
2004,15.25,2000,Petrol,5,5169.01,Nissan,Manual,Black,Full,1,Yes
2005,14.92,800,Petrol,5,1229.02,Hyundai,Automatic,Black,Full,0,Yes
1996,19.43,3000,Diesel,5,4999.49,Chevrolet,Manual,Blue,Partial,0,Yes
2019,18.63,1000,Diesel,3,7112.42,Tesla,Manual,Black,None,0,Yes
2020,21.89,1500,Petrol,3,7863.82,Volkswagen,Manual,Red,Partial,1,No
2003,24.51,1200,Petrol,1,5504.52,Ford,Automatic,Black,Full,0,Yes
2011,14.54,2000,Petrol,3,5539.89,Tesla,Manual,Blue,Partial,0,No
2020,22.31,1000,Diesel,1,9927.27,Ford,Automatic,Black,None,1,Yes
1997,12.6,1800,Petrol,2,4632.97,Toyota,Automatic,Silver,Partial,1,Yes
2018,28.37,4000,Electric,1,13897.8,BMW,Automatic,White,Full,0,Yes
2000,14.07,1200,Diesel,1,3137.67,Chevrolet,Manual,Blue,None,0,Yes
1999,21.45,1000,Petrol,5,1000.0,Volkswagen,Manual,Gray,Full,0,Yes
1999,12.56,1000,Petrol,3,1366.16,Nissan,Automatic,Gray,Full,0,Yes
2016,17.24,4000,Petrol,4,8692.12,Chevrolet,Automatic,Silver,None,0,Yes
2009,25.73,2000,Diesel,4,8055.78,Nissan,Manual,Blue,Partial,2,No
2017,13.91,1000,Diesel,5,5152.87,Hyundai,Manual,White,Partial,0,Yes
2011,29.02,1200,Petrol,2,6482.23,Toyota,Manual,Red,Full,0,No
2003,17.97,800,Diesel,2,3414.25,Toyota,Manual,White,Partial,0,Yes
1997,22.88,1000,Diesel,2,3589.61,Volkswagen,Manual,Red,None,0,Yes
2014,20.01,1000,Petrol,1,6007.07,BMW,Manual,Black,Full,2,Yes
2020,20.29,1000,Petrol,3,6551.1,Ford,Automatic,Silver,Full,0,Yes
2011,10.87,2500,Petrol,2,6270.54,Hyundai,Manual,Blue,Full,0,Yes
2023,15.64,1200,Petrol,4,6284.1,Chevrolet,Manual,Red,Full,0,No
2021,23.98,1500,Petrol,1,7863.1,Chevrolet,Manual,Gray,Partial,1,Yes
2004,16.28,1000,Petrol,2,4386.39,Hyundai,Manual,Blue,Full,1,Yes
1997,18.69,1800,Petrol,2,5114.08,Tesla,Automatic,White,Partial,2,Yes
2012,10.26,4000,Electric,3,10898.96,Hyundai,Manual,Black,Full,0,Yes
2012,15.31,4000,Petrol,3,8826.59,Nissan,Automatic,White,Partial,1,Yes
2011,23.62,2500,Petrol,1,8944.63,BMW,Manual,Red,Full,0,No
2018,11.59,3000,Diesel,4,8856.28,Kia,Manual,Silver,Partial,0,Yes
1997,21.59,1800,Petrol,5,4878.57,Ford,Manual,Red,Partial,1,Yes
1997,18.89,1800,Petrol,4,3814.71,BMW,Manual,Red,Partial,0,Yes
2000,16.82,1200,Petrol,3,4002.08,Tesla,Automatic,Gray,None,1,Yes
2007,16.6,2000,Electric,3,8796.02,Nissan,Manual,White,None,0,Yes
2018,15.54,800,Petrol,5,5883.71,Nissan,Automatic,Red,None,0,Yes
2023,15.99,1200,Electric,4,11235.35,Ford,Manual,Silver,None,0,Yes
2009,22.65,1000,Diesel,4,5779.57,Nissan,Manual,Black,Full,0,Yes
2019,15.84,2500,Diesel,5,7836.35,Ford,Automatic,White,Partial,0,Yes
2003,27.04,4000,Diesel,3,10036.93,Kia,Automatic,Red,Full,0,Yes
1998,19.5,1500,Petrol,1,5322.57,Tesla,Manual,Blue,None,0,No
2008,15.12,2500,Petrol,4,5402.62,Nissan,Manual,Black,None,0,No
1999,22.87,3000,Petrol,2,6961.95,Honda,Automatic,White,Full,0,Yes
1996,21.12,5000,Petrol,4,9086.32,Toyota,Automatic,Silver,Partial,0,Yes
2005,9.73,1000,Electric,4,5309.49,Nissan,Automatic,Silver,None,0,Yes
2003,12.83,2500,Diesel,4,3785.77,Toyota,Manual,Black,Partial,0,Yes
2018,17.42,1200,Petrol,3,6289.65,Chevrolet,Automatic,Silver,Full,0,Yes
1997,10.08,3000,Diesel,2,4051.95,Honda,Automatic,White,Full,0,Yes
2021,28.45,2000,Electric,4,13866.83,Volkswagen,Automatic,White,Partial,1,Yes
2022,22.11,1200,Electric,1,11086.88,Nissan,Manual,Gray,Full,0,Yes
2023,17.93,3000,Diesel,2,10473.67,BMW,Manual,White,Partial,0,No
2003,16.29,1200,Petrol,5,4297.28,Chevrolet,Automatic,Gray,None,0,No
1997,15.0,4000,Petrol,1,10713.71,Hyundai,Automatic,Red,Full,1,Yes
2019,8.18,1200,Petrol,5,4338.99,Hyundai,Manual,Silver,Partial,0,Yes
1996,9.34,800,Petrol,4,1000.0,Chevrolet,Manual,Red,Partial,0,No
2006,27.51,1000,Petrol,3,6245.96,Volkswagen,Manual,Silver,Full,0,Yes
2004,25.87,1500,Electric,4,8312.9,BMW,Manual,Gray,None,1,Yes
2003,15.12,1000,Electric,4,6025.17,Volkswagen,Manual,Silver,Full,0,No
2009,22.54,1500,Diesel,5,5396.43,Volkswagen,Manual,Silver,Full,1,Yes
2002,20.53,1500,Diesel,4,4853.82,Tesla,Automatic,Blue,None,0,Yes
2019,21.12,1500,Diesel,1,10556.52,Toyota,Automatic,Red,Partial,0,Yes
1999,10.87,800,Petrol,3,1000.0,Nissan,Automatic,Black,Full,0,No
2005,8.96,4000,Electric,5,11658.26,Volkswagen,Automatic,Red,Full,1,Yes
2021,23.91,5000,Petrol,2,13701.9,Ford,Manual,Gray,Full,0,Yes
1996,8.1,2500,Diesel,4,4418.95,Tesla,Manual,Silver,None,0,Yes
2018,17.26,1000,Petrol,5,5322.95,Hyundai,Manual,Black,Full,1,Yes
2022,16.16,1200,Diesel,4,6461.69,Kia,Manual,Black,None,0,Yes
2009,15.7,3000,Diesel,4,7328.84,Ford,Manual,Black,Full,0,Yes
2000,19.57,2500,Diesel,5,4205.9,Chevrolet,Automatic,Blue,Partial,0,No
2002,14.61,1500,Petrol,1,6807.96,Honda,Manual,White,Partial,0,Yes
2021,19.98,1500,Petrol,2,8760.24,Ford,Manual,Silver,Full,0,Yes
1999,18.71,4000,Diesel,4,7878.81,Honda,Manual,Silver,Full,1,Yes
2010,28.49,1800,Petrol,1,8209.82,Volkswagen,Manual,Red,Full,1,Yes
2020,11.07,1800,Diesel,4,5044.17,Ford,Automatic,Black,Partial,0,No
2012,18.15,2500,Diesel,4,7807.98,Tesla,Manual,Blue,None,0,Yes
2000,20.16,800,Petrol,1,5257.22,Kia,Manual,Black,None,0,Yes
1999,16.72,1200,Petrol,4,3650.82,Toyota,Manual,Red,Full,0,Yes
2022,11.31,1000,Diesel,2,6649.22,Kia,Manual,White,None,0,No
2010,24.29,5000,Petrol,5,10591.63,Tesla,Manual,Silver,Full,0,No
2007,19.68,2000,Petrol,1,8548.65,Nissan,Manual,Black,None,0,No
2022,11.67,2000,Petrol,3,8071.99,Ford,Automatic,Silver,Partial,3,Yes
1999,20.19,5000,Petrol,4,9455.47,Chevrolet,Manual,Red,None,0,Yes
2007,26.51,800,Petrol,5,2867.01,Kia,Automatic,Gray,Full,0,No
2011,17.82,2000,Petrol,2,5355.1,Toyota,Automatic,White,Partial,0,Yes
2012,17.99,5000,Diesel,2,14183.39,Honda,Manual,Blue,Partial,1,Yes
2002,25.84,1000,Diesel,3,5628.57,Hyundai,Manual,White,Full,0,Yes
2007,13.15,1500,Diesel,2,6574.51,Chevrolet,Manual,Gray,None,0,No
2023,26.64,2000,Petrol,5,6927.53,BMW,Manual,Blue,Full,0,Yes
2013,22.86,1200,Diesel,3,7386.75,Kia,Manual,Black,None,0,Yes
2020,13.38,1200,Diesel,1,7021.39,Honda,Manual,Gray,None,2,No
1997,14.66,1200,Petrol,3,3120.42,Hyundai,Manual,White,Partial,0,Yes
2018,15.38,1500,Diesel,1,8235.47,Nissan,Manual,Black,Full,1,Yes
2002,8.83,4000,Petrol,2,7939.8,Ford,Automatic,White,Full,0,No
1996,19.3,1500,Petrol,5,3040.39,Toyota,Manual,Black,None,1,No
2002,13.61,1500,Electric,4,5701.0,Kia,Automatic,Red,Partial,0,Yes
2021,19.48,1500,Petrol,3,8249.82,Volkswagen,Automatic,Red,None,0,Yes
2007,11.55,2500,Diesel,2,5694.22,Nissan,Automatic,Blue,Full,0,Yes
2007,22.62,1800,Petrol,5,4538.4,Tesla,Automatic,White,None,1,Yes
1995,21.69,1000,Electric,4,5856.3,BMW,Manual,Gray,None,0,No
2000,14.47,2500,Petrol,3,4125.06,Tesla,Manual,White,None,2,Yes
2018,19.8,1200,Petrol,5,6951.35,Hyundai,Manual,Gray,Full,1,Yes
2013,18.41,800,Diesel,2,6940.89,Ford,Manual,Blue,Full,0,No
2010,25.41,4000,Diesel,3,10023.94,BMW,Manual,Gray,Full,0,Yes
2002,12.84,1800,Diesel,3,4189.64,Chevrolet,Manual,Black,Partial,1,Yes
2022,17.24,5000,Diesel,1,13804.24,Hyundai,Automatic,White,Partial,1,Yes
1995,14.8,800,Petrol,1,1157.64,BMW,Manual,Blue,Full,0,Yes
2021,18.22,800,Petrol,3,4965.27,Ford,Manual,Blue,Full,0,Yes
2021,20.67,800,Diesel,5,6451.28,Ford,Manual,White,Partial,0,Yes
2010,14.74,4000,Diesel,2,10058.63,Nissan,Manual,Silver,Full,0,Yes
2003,16.18,3000,Petrol,4,5930.04,Kia,Automatic,Gray,Full,0,Yes
2007,22.83,2000,Diesel,1,7252.72,Tesla,Automatic,Black,Full,0,Yes
2005,24.79,5000,Electric,2,15335.07,BMW,Manual,Silver,Partial,2,No
2007,20.47,2000,Diesel,3,4522.98,Toyota,Manual,Silver,Full,0,Yes
2019,17.31,2000,Petrol,2,10208.46,BMW,Manual,Gray,Partial,0,Yes
2015,16.83,1500,Petrol,2,7842.07,Hyundai,Manual,Black,Full,0,Yes
2004,20.74,1800,Petrol,2,5789.45,Tesla,Manual,Red,Full,0,Yes
1998,19.14,5000,Petrol,3,9778.54,Chevrolet,Automatic,White,Partial,3,Yes
2021,9.76,1200,Petrol,1,8400.5,Honda,Manual,Gray,Partial,0,No
2000,20.86,1200,Petrol,4,2656.0,Volkswagen,Manual,Blue,Full,0,Yes
2022,13.7,5000,Petrol,5,12627.67,Ford,Automatic,White,Full,1,Yes
2001,10.92,2500,Petrol,1,6095.4,Volkswagen,Manual,Silver,Full,0,No
1999,9.66,1800,Petrol,4,3790.58,Toyota,Automatic,Gray,Full,0,Yes
2005,16.92,3000,Petrol,3,8057.07,Volkswagen,Automatic,Red,Partial,1,Yes
2007,12.92,1800,Petrol,4,4866.62,Chevrolet,Automatic,Red,None,0,Yes
2020,6.37,1500,Petrol,3,7007.47,Honda,Manual,White,Full,1,Yes
2019,16.21,1200,Petrol,4,5570.86,Nissan,Manual,Gray,Full,1,Yes
2013,15.55,1000,Diesel,1,6192.32,Chevrolet,Manual,Silver,Full,0,Yes
2017,17.25,1200,Diesel,3,5549.02,Toyota,Manual,Black,None,0,Yes
2004,14.86,2500,Petrol,2,5841.8,Ford,Manual,Blue,Full,1,Yes
2004,27.15,3000,Diesel,3,8448.66,Chevrolet,Manual,Red,Full,2,No
2005,20.59,1800,Petrol,3,6670.06,Ford,Automatic,Blue,Full,0,Yes
2015,15.5,800,Diesel,4,3423.19,Honda,Manual,Silver,Partial,1,No
2001,17.68,1200,Petrol,3,4364.42,Hyundai,Automatic,White,None,2,Yes
2012,25.07,1500,Diesel,4,7632.12,Ford,Manual,Silver,Full,0,Yes
1998,22.78,5000,Petrol,1,12153.28,Volkswagen,Automatic,Red,Full,1,Yes
1996,11.02,1500,Petrol,3,2757.32,Chevrolet,Automatic,White,Full,0,No
2008,13.13,800,Petrol,2,3322.26,Toyota,Manual,Blue,Full,0,Yes
2007,14.09,5000,Electric,2,14310.13,Toyota,Automatic,Red,None,0,Yes
2023,15.8,4000,Petrol,1,12690.12,Kia,Automatic,White,Partial,0,Yes
2006,15.02,5000,Petrol,2,10601.5,BMW,Automatic,White,Full,0,Yes
2001,18.17,1500,Petrol,4,3694.58,Toyota,Automatic,Blue,Full,0,Yes
1996,21.68,1000,Diesel,3,3738.1,Volkswagen,Manual,Gray,None,1,Yes
2007,22.51,4000,Petrol,5,9072.19,Honda,Manual,Silver,Partial,0,Yes
2008,16.37,1500,Diesel,3,4903.81,Toyota,Automatic,Gray,Partial,0,Yes
2021,9.83,1500,Petrol,3,6261.22,Ford,Automatic,Gray,Partial,0,Yes
2011,12.8,2000,Diesel,5,3695.61,Nissan,Automatic,Gray,Partial,0,Yes
2003,15.4,3000,Petrol,2,7506.29,Toyota,Manual,Gray,Full,0,Yes
2011,11.77,1800,Petrol,2,6577.6,BMW,Automatic,Silver,Full,1,Yes
2002,23.7,3000,Diesel,3,6315.07,BMW,Manual,Gray,None,0,Yes
1996,12.1,800,Diesel,2,2346.05,Kia,Manual,Silver,Full,1,Yes
2022,21.09,1500,Electric,4,9956.53,Ford,Manual,Red,Full,0,Yes
2018,9.59,800,Diesel,4,5591.95,Volkswagen,Automatic,White,None,0,Yes
2007,21.29,1200,Petrol,5,3036.96,Kia,Manual,Black,Full,1,Yes
1997,17.3,2500,Diesel,3,6396.15,Chevrolet,Manual,Black,Partial,2,Yes
2010,25.56,800,Diesel,4,6439.39,Kia,Automatic,Blue,Partial,1,Yes
2000,12.34,1800,Petrol,1,2653.17,Volkswagen,Manual,White,Full,1,Yes
2013,15.18,800,Petrol,2,6013.65,Honda,Manual,Red,Full,1,Yes
2001,16.15,2000,Petrol,3,5494.4,Tesla,Manual,White,Full,0,Yes
2004,17.24,4000,Petrol,4,6545.72,Hyundai,Manual,Blue,Full,0,No
2003,16.27,1200,Petrol,5,2780.39,Honda,Manual,Black,Full,0,Yes
1996,16.37,2000,Electric,4,6328.84,Chevrolet,Automatic,Red,Partial,1,Yes
2022,16.28,1500,Diesel,1,7457.76,Hyundai,Automatic,Gray,None,0,Yes
2022,7.64,2000,Diesel,4,5980.33,Tesla,Manual,Gray,Full,0,Yes
2009,22.97,1000,Petrol,3,6356.49,Nissan,Manual,Black,Full,1,Yes
1999,32.31,1500,Petrol,5,4961.01,Kia,Manual,Silver,None,0,Yes
2023,19.49,2500,Diesel,5,7845.34,Chevrolet,Manual,Blue,Full,0,Yes
2016,12.32,2000,Diesel,1,6630.46,Toyota,Manual,Black,Partial,1,Yes
1998,12.83,4000,Diesel,3,7980.01,Honda,Manual,Red,Partial,1,Yes
2014,21.07,2500,Electric,1,13971.41,Volkswagen,Automatic,White,Full,1,Yes
1998,19.93,800,Petrol,1,3972.47,Chevrolet,Manual,Blue,Full,3,No
2012,16.58,2000,Petrol,1,7597.88,Chevrolet,Automatic,Black,Partial,1,Yes
1998,21.77,1200,Petrol,4,6065.26,BMW,Manual,Silver,None,1,No
2021,7.68,3000,Petrol,2,9810.48,BMW,Manual,Black,Partial,0,Yes
2011,21.77,800,Petrol,4,5965.23,Ford,Automatic,Gray,Partial,1,Yes
2006,19.19,5000,Diesel,3,10028.89,Nissan,Manual,Red,Partial,0,No
2016,13.02,1000,Electric,1,8516.21,BMW,Automatic,Silver,Full,1,Yes
2011,10.83,1200,Electric,1,9936.76,Nissan,Manual,Gray,Partial,1,Yes
2004,18.61,1200,Diesel,2,5489.95,Kia,Automatic,Silver,Full,0,Yes
2016,25.04,2500,Electric,5,11246.1,Ford,Manual,Blue,None,2,Yes
1995,16.86,3000,Electric,1,10091.19,Nissan,Automatic,Red,Partial,1,Yes
2016,13.74,4000,Diesel,4,11173.22,Tesla,Manual,Red,Full,1,No
2020,18.96,2500,Petrol,1,9190.32,Toyota,Manual,Silver,Full,1,Yes
2018,27.1,3000,Petrol,3,10511.0,Kia,Automatic,White,Full,1,Yes
2021,20.16,2000,Petrol,2,8286.58,Honda,Automatic,White,Full,1,Yes
2012,20.7,1000,Petrol,5,4961.69,Toyota,Automatic,Blue,Full,0,Yes
2012,24.11,800,Diesel,3,6594.9,BMW,Manual,Blue,Partial,1,Yes
2008,20.36,1200,Petrol,4,5159.08,Kia,Automatic,Blue,Full,0,Yes
2009,14.1,4000,Petrol,3,10674.52,Chevrolet,Manual,Blue,None,0,Yes
2023,9.28,2500,Petrol,1,8698.23,Toyota,Manual,Silver,Full,0,Yes
2006,13.39,1000,Petrol,2,4953.84,Ford,Manual,Blue,Partial,1,No
1998,12.48,800,Petrol,1,4574.88,Kia,Manual,Gray,None,1,Yes
2021,21.3,1000,Petrol,2,7227.48,Kia,Automatic,White,Full,0,No
1997,21.99,1200,Petrol,4,2921.7,Nissan,Automatic,Black,Full,1,Yes
2014,18.88,2000,Petrol,3,7112.64,Kia,Manual,Gray,Full,0,Yes
2023,11.66,4000,Diesel,2,9802.32,Chevrolet,Manual,Gray,Partial,0,Yes
2006,26.93,3000,Petrol,3,9667.9,Chevrolet,Manual,White,None,0,Yes
2001,15.92,5000,Diesel,2,10121.29,Nissan,Manual,Blue,Full,0,Yes
2023,21.02,4000,Petrol,1,11183.46,Tesla,Manual,Silver,Partial,1,Yes
2005,18.25,3000,Petrol,2,7413.2,Honda,Automatic,Red,Partial,0,Yes
1995,19.04,2500,Diesel,2,6996.8,Nissan,Automatic,Black,Full,1,Yes
2000,20.84,2000,Petrol,5,4072.62,Toyota,Manual,Black,Full,0,Yes
2009,14.52,3000,Petrol,4,8561.36,Nissan,Automatic,Gray,Full,0,Yes
2009,24.53,2000,Electric,1,10920.33,Chevrolet,Automatic,Blue,Full,1,Yes
2013,10.1,1000,Diesel,1,4114.02,Toyota,Manual,Blue,Full,0,No
2005,12.81,4000,Petrol,3,6067.67,Honda,Manual,Black,Full,0,Yes
2020,24.46,4000,Diesel,2,14434.46,Toyota,Manual,Gray,Partial,0,Yes
2017,20.95,1200,Electric,2,9442.92,Toyota,Manual,Silver,None,0,No
2020,30.7,4000,Petrol,2,12495.79,Ford,Manual,Black,Full,0,Yes
1996,18.34,1000,Diesel,1,3887.86,BMW,Automatic,Gray,Full,0,Yes
2008,26.5,1200,Diesel,5,5329.99,Hyundai,Automatic,Silver,Full,0,Yes
1996,8.71,2000,Petrol,3,2353.98,Hyundai,Automatic,White,None,0,Yes
2023,10.93,1500,Diesel,2,8690.13,Honda,Automatic,Blue,None,0,Yes
1998,22.48,3000,Petrol,5,6104.82,Ford,Automatic,Gray,Full,1,Yes
2011,9.3,800,Diesel,4,4592.79,Tesla,Manual,Silver,Full,1,Yes
1997,17.01,2000,Diesel,1,3507.81,Honda,Manual,Black,None,1,Yes
2007,23.84,1000,Petrol,4,5298.24,BMW,Manual,White,Partial,1,Yes
2003,20.51,2000,Diesel,1,7213.4,Chevrolet,Manual,Black,Partial,0,Yes
2001,18.06,800,Diesel,3,3387.6,Volkswagen,Automatic,Gray,Partial,0,Yes
2009,15.75,1000,Electric,4,6616.91,Ford,Manual,White,Partial,0,Yes
2017,19.01,4000,Petrol,3,9242.91,Ford,Manual,Red,Full,0,No
2023,20.89,2000,Petrol,3,7488.3,Chevrolet,Automatic,White,Full,0,Yes
2023,14.7,3000,Diesel,3,10912.47,Tesla,Automatic,Gray,Full,1,Yes
2005,19.86,2500,Petrol,4,6658.41,BMW,Manual,Silver,Partial,0,No
2014,23.39,4000,Petrol,4,10106.83,Toyota,Manual,Red,None,0,Yes
1996,16.89,4000,Diesel,4,6567.06,Hyundai,Manual,Gray,Full,1,Yes
2009,18.34,1500,Petrol,2,7222.13,BMW,Manual,White,None,0,Yes
2008,20.42,2500,Petrol,3,8279.54,Tesla,Automatic,White,Partial,1,No
2014,20.76,1800,Petrol,2,6874.78,Chevrolet,Automatic,Silver,Full,1,Yes
2016,22.39,2500,Petrol,1,8295.52,Honda,Manual,Blue,Partial,0,Yes
2005,12.93,1500,Petrol,4,4321.76,Kia,Manual,Blue,Full,0,Yes
2021,15.36,5000,Petrol,5,12625.83,BMW,Manual,Gray,Full,0,Yes
1997,15.54,800,Petrol,1,4205.0,Chevrolet,Automatic,Gray,Full,1,Yes
2011,13.48,1500,Diesel,3,7077.7,Volkswagen,Manual,Blue,Full,1,Yes
2006,9.01,5000,Petrol,3,9209.83,Chevrolet,Automatic,Red,Partial,0,No
2018,5.0,1200,Diesel,2,5784.96,Honda,Manual,Gray,None,1,Yes
2022,23.98,4000,Petrol,4,11520.89,Tesla,Manual,Blue,Full,0,Yes
2023,10.23,1800,Diesel,4,7540.01,Kia,Manual,Red,Partial,0,Yes
2015,25.83,1500,Electric,1,10786.02,Volkswagen,Automatic,Blue,Partial,1,Yes
2009,21.7,3000,Diesel,1,9547.96,Chevrolet,Manual,Silver,Partial,1,Yes
2010,15.97,1800,Diesel,1,8663.88,Hyundai,Automatic,Red,Full,0,Yes
1999,21.08,1200,Petrol,5,2350.81,Tesla,Manual,Blue,Full,1,Yes
2021,20.13,1000,Petrol,5,3953.46,Chevrolet,Manual,Black,Full,1,Yes
2014,12.49,3000,Diesel,3,8524.15,Toyota,Manual,Blue,Partial,0,Yes
2000,17.93,1000,Diesel,3,5791.84,Hyundai,Automatic,Black,None,0,No
2013,13.1,3000,Diesel,3,7242.01,Chevrolet,Automatic,Black,Full,0,Yes
2019,21.27,1800,Electric,4,11779.19,Nissan,Manual,White,Partial,0,Yes
1999,14.42,3000,Petrol,3,5994.86,Chevrolet,Manual,Gray,Full,0,No
1997,17.52,1800,Diesel,2,3769.63,Ford,Automatic,Blue,None,1,No
2021,17.3,800,Petrol,1,8014.74,Hyundai,Manual,White,Partial,1,Yes
1995,18.61,1000,Diesel,4,1000.0,Tesla,Manual,White,Partial,0,Yes
2020,26.31,2000,Petrol,5,9578.81,Volkswagen,Manual,Red,Partial,0,Yes
2022,16.8,1200,Electric,1,11126.34,Volkswagen,Automatic,Black,Full,0,Yes
2000,24.09,3000,Diesel,3,5584.33,Nissan,Automatic,White,Full,0,Yes
2009,20.4,1800,Petrol,5,7251.96,Hyundai,Manual,Blue,Partial,0,No
1996,25.09,1200,Diesel,5,3968.44,Honda,Manual,Silver,Partial,0,Yes
2023,16.31,5000,Diesel,5,12122.99,Tesla,Manual,Blue,Full,0,Yes
1997,21.48,2500,Petrol,1,7665.94,Chevrolet,Manual,Black,None,1,Yes
2011,17.7,3000,Petrol,4,5216.1,BMW,Manual,Red,Full,1,Yes
2019,5.0,1500,Petrol,1,5975.5,Hyundai,Manual,Blue,Full,2,Yes
2018,12.55,4000,Petrol,2,13115.17,Nissan,Automatic,Blue,Full,0,Yes
2006,20.91,2000,Diesel,3,6439.06,Nissan,Automatic,Gray,None,1,No
2012,20.58,800,Petrol,4,4229.23,Honda,Manual,White,Full,0,Yes
2009,11.53,1800,Petrol,4,5001.93,Volkswagen,Automatic,Gray,None,0,Yes
2006,19.1,1800,Diesel,3,4693.73,Kia,Automatic,Blue,Partial,0,Yes
2010,20.52,2500,Electric,2,12689.55,Volkswagen,Manual,Black,Full,0,Yes
2021,17.83,2500,Diesel,5,7492.78,Tesla,Manual,Silver,Partial,0,No
2002,21.64,2000,Diesel,3,4218.66,Toyota,Manual,White,None,1,Yes
2022,20.96,3000,Petrol,5,9385.72,Volkswagen,Automatic,Blue,Partial,1,Yes
2008,17.82,1000,Petrol,3,5736.35,Volkswagen,Manual,Silver,Full,1,Yes
2019,15.45,2500,Petrol,1,10048.67,BMW,Automatic,Blue,Full,3,Yes
2011,23.21,5000,Diesel,2,10937.09,Toyota,Automatic,Red,Full,1,Yes
2023,20.32,2500,Petrol,2,9088.99,BMW,Manual,Black,Full,0,Yes
2015,11.09,1500,Petrol,3,3603.38,Kia,Automatic,Red,Full,0,No
2002,19.1,5000,Diesel,2,11206.2,BMW,Automatic,White,Partial,0,Yes
2009,12.24,1000,Petrol,5,3689.49,Volkswagen,Manual,Silver,Full,0,Yes
2021,13.18,1500,Diesel,2,7947.2,BMW,Automatic,Red,Full,0,Yes
2008,14.74,1500,Diesel,2,5183.78,Nissan,Manual,Blue,Full,0,No
2012,18.22,2000,Petrol,2,5484.55,Tesla,Automatic,Red,None,1,Yes
2014,19.87,2500,Electric,4,9835.45,Honda,Manual,Gray,Partial,0,Yes
2001,15.96,1200,Petrol,3,4873.79,Chevrolet,Automatic,Silver,None,0,Yes
1997,16.17,5000,Electric,1,13262.43,Tesla,Manual,Blue,Full,2,No
2023,15.48,800,Petrol,1,5679.29,Kia,Manual,White,Full,0,Yes
2006,23.24,1200,Diesel,4,4615.14,Nissan,Manual,Red,None,1,Yes
2015,5.0,4000,Diesel,4,8816.01,Kia,Manual,Black,Partial,0,Yes
2018,16.46,800,Diesel,1,6674.11,Tesla,Automatic,Silver,Full,0,Yes
2022,25.72,3000,Diesel,5,8368.25,Ford,Manual,Black,Partial,0,Yes
2020,20.59,1000,Electric,1,10384.17,Honda,Automatic,Gray,Full,1,Yes
1997,24.33,2000,Electric,1,8638.93,Volkswagen,Automatic,Blue,Full,0,Yes
2014,7.83,1200,Diesel,3,4772.98,Tesla,Automatic,Black,None,1,No
2008,11.79,2500,Diesel,1,7545.76,Nissan,Automatic,Silver,None,0,Yes
2009,20.57,1000,Petrol,1,5562.67,Hyundai,Manual,Silver,Full,1,Yes
2019,25.75,1500,Diesel,2,9236.4,Hyundai,Manual,Black,Partial,2,Yes
2008,12.29,5000,Diesel,4,11209.65,Kia,Manual,Black,Partial,0,No
2001,16.06,4000,Diesel,1,12092.51,Kia,Manual,Blue,Partial,2,Yes
2011,20.01,2000,Diesel,1,7019.24,Honda,Manual,Black,Full,0,Yes
2006,10.74,1500,Petrol,5,3413.47,Chevrolet,Automatic,Silver,Partial,0,Yes
2014,20.61,1000,Petrol,1,5159.39,Ford,Manual,Gray,Partial,1,Yes
1998,5.0,5000,Petrol,3,7222.85,Tesla,Manual,Gray,Full,0,Yes
2003,20.46,4000,Diesel,5,9084.11,Volkswagen,Automatic,Black,Partial,1,Yes
2000,13.02,1500,Petrol,1,2443.99,Ford,Automatic,White,Partial,1,No
2010,15.76,4000,Diesel,3,8874.24,Kia,Automatic,Silver,Full,0,No
2019,21.26,1000,Petrol,4,6265.64,Tesla,Automatic,Silver,Full,0,Yes
2022,20.24,2500,Petrol,1,8815.68,Kia,Manual,Blue,Partial,0,No
2016,17.96,1800,Petrol,4,7031.61,Nissan,Manual,Blue,Full,1,Yes
2016,22.85,3000,Petrol,1,10795.58,Ford,Manual,Red,None,0,Yes
2015,9.5,3000,Petrol,5,6177.92,BMW,Manual,Blue,Full,0,Yes
2015,19.02,1500,Diesel,5,6331.43,Volkswagen,Manual,White,Partial,1,Yes
1996,14.05,1500,Petrol,3,2405.54,Toyota,Automatic,Blue,None,0,No
2018,22.59,3000,Petrol,2,10766.63,BMW,Manual,Red,None,1,Yes
2002,21.44,1200,Electric,3,7576.29,Nissan,Manual,Silver,Full,0,Yes
